batch_timestamp,trial_num,hover_theme,delay_ms,stylesheet_ok,pixel_ok,checks_agree,actual_rgb,expected_rgb,fade_state_at_unhover,overlay_visible_at_unhover,fade_state_before_dismiss,overlay_visible_before_dismiss,fade_state_after_dismiss_call,overlay_visible_after_dismiss_call,fade_was_running_before_dismiss,applies_in_dismiss_window,applies_total_after_delay,fade_finished_count,dismiss_window_callers,unhover_call_duration_ms
2026-08-03T05:48:03.149112,1,Blindsight,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.1516820047982037
2026-08-03T05:48:05.898702,2,Blindsight,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07247901521623135
2026-08-03T05:48:08.563204,3,Blindsight,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.1216770033352077
2026-08-03T05:48:11.212932,4,Blindsight,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.32616598764434457
2026-08-03T05:48:13.907393,5,Blindsight,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.36404302227310836
2026-08-03T05:48:16.556492,6,Blindsight,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08211401291191578
2026-08-03T05:48:19.316037,7,Rose Code,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.10997001663781703
2026-08-03T05:48:21.964366,8,Rose Code,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.10014799772761762
2026-08-03T05:48:24.623046,9,Rose Code,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.260547996731475
2026-08-03T05:48:27.316699,10,Rose Code,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.10004799696616828
2026-08-03T05:48:29.992947,11,Rose Code,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.15190098201856017
2026-08-03T05:48:32.702729,12,Rose Code,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07747000199742615
2026-08-03T05:48:35.394666,13,Slow Regard,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.11889799498021603
2026-08-03T05:48:38.185460,14,Slow Regard,0,False,True,False,"(33, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.21107401698827744
2026-08-03T05:48:40.848172,15,Slow Regard,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.11440299567766488
2026-08-03T05:48:43.539782,16,Slow Regard,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.1389319950249046
2026-08-03T05:48:46.167033,17,Slow Regard,0,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.06417999975383282
2026-08-03T05:48:49.075190,18,Slow Regard,0,False,True,False,"(33, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.11772298603318632
2026-08-03T05:48:51.741510,19,Blindsight,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08179401629604399
2026-08-03T05:48:54.429459,20,Blindsight,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07369997911155224
2026-08-03T05:48:57.149281,21,Blindsight,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.10968701099045575
2026-08-03T05:48:59.925673,22,Blindsight,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.05070798215456307
2026-08-03T05:49:02.626420,23,Blindsight,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.06751000182703137
2026-08-03T05:49:05.402134,24,Blindsight,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.115458999061957
2026-08-03T05:49:08.218536,25,Rose Code,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07472900324501097
2026-08-03T05:49:10.908713,26,Rose Code,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.1507110137026757
2026-08-03T05:49:13.627254,27,Rose Code,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07600800017826259
2026-08-03T05:49:16.395171,28,Rose Code,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08112099021673203
2026-08-03T05:49:19.118669,29,Rose Code,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08862200775183737
2026-08-03T05:49:21.775705,30,Rose Code,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07438100874423981
2026-08-03T05:49:24.440531,31,Slow Regard,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08184500620700419
2026-08-03T05:49:27.155286,32,Slow Regard,20,False,True,False,"(33, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.053987023420631886
2026-08-03T05:49:29.886278,33,Slow Regard,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.1500080106779933
2026-08-03T05:49:32.620482,34,Slow Regard,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07254097727127373
2026-08-03T05:49:35.295869,35,Slow Regard,20,False,True,False,"(33, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.10656198719516397
2026-08-03T05:49:38.079953,36,Slow Regard,20,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.05832701572217047
2026-08-03T05:49:40.847724,37,Blindsight,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08350500138476491
2026-08-03T05:49:43.578115,38,Blindsight,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.12432099902071059
2026-08-03T05:49:46.311801,39,Blindsight,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07211801130324602
2026-08-03T05:49:49.006045,40,Blindsight,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.04570800228975713
2026-08-03T05:49:51.750905,41,Blindsight,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.05761999636888504
2026-08-03T05:49:54.479592,42,Blindsight,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07695099338889122
2026-08-03T05:49:57.247478,43,Rose Code,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.06855998071841896
2026-08-03T05:49:59.969489,44,Rose Code,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.0882960157468915
2026-08-03T05:50:02.593906,45,Rose Code,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.0652250018902123
2026-08-03T05:50:05.257471,46,Rose Code,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.04604001878760755
2026-08-03T05:50:07.969200,47,Rose Code,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.13353701797313988
2026-08-03T05:50:10.695833,48,Rose Code,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08432602044194937
2026-08-03T05:50:13.367236,49,Slow Regard,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07750300574116409
2026-08-03T05:50:15.959634,50,Slow Regard,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07724898750893772
2026-08-03T05:50:18.638937,51,Slow Regard,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.1397250161971897
2026-08-03T05:50:21.200442,52,Slow Regard,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07002000347711146
2026-08-03T05:50:23.761778,53,Slow Regard,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.12420600978657603
2026-08-03T05:50:26.466469,54,Slow Regard,50,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07799800368957222
2026-08-03T05:50:29.232007,55,Blindsight,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.05056898226030171
2026-08-03T05:50:31.833376,56,Blindsight,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.06690400186926126
2026-08-03T05:50:34.443764,57,Blindsight,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.04747198545373976
2026-08-03T05:50:37.092068,58,Blindsight,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.10700398706831038
2026-08-03T05:50:39.834624,59,Blindsight,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.17389599815942347
2026-08-03T05:50:42.606585,60,Blindsight,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.13582801329903305
2026-08-03T05:50:45.245322,61,Rose Code,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07273099618032575
2026-08-03T05:50:47.868606,62,Rose Code,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.06527398363687098
2026-08-03T05:50:50.559385,63,Rose Code,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.0775430235080421
2026-08-03T05:50:53.266351,64,Rose Code,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.08164398605003953
2026-08-03T05:50:55.846563,65,Rose Code,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.07167499279603362
2026-08-03T05:50:58.762880,66,Rose Code,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.088928994955495
2026-08-03T05:51:01.400650,67,Slow Regard,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.04530302248895168
2026-08-03T05:51:04.139046,68,Slow Regard,80,False,True,False,"(32, 4, 37)","(32, 4, 37)",Stopped,False,Stopped,False,Stopped,False,False,0,1,0,['_do_fade_with_slider_animation:1382'],0.06426300387829542
