batch_timestamp,trial_num,delay_ms,swatch_count,dwell_ms,stylesheet_ok,pixel_ok,checks_agree,applies_this_trial,fade_finished_count,mechanism,actual_rgb,expected_rgb,internal_active_theme,internal_fade_overlay_visible
2026-08-02T22:00:49.634831,1,0,1,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:00:52.968327,2,0,1,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:00:54.481909,3,0,2,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:00:58.580126,4,0,2,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:00.182681,5,0,4,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:05.880775,6,0,4,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:07.482072,7,50,1,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:10.879476,8,50,1,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:12.474427,9,50,2,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:16.574041,10,50,2,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:18.179233,11,50,4,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:23.873294,12,50,4,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:25.475891,13,100,1,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:28.873688,14,100,1,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:30.576597,15,100,2,40,True,False,False,0,0,NEITHER,"(75, 55, 83)","(32, 4, 37)",Alzabo,False
2026-08-02T22:01:34.773119,16,100,2,120,True,False,False,1,0,"ONE_APPLY (fade-path OR fallback, not both)","(75, 55, 83)","(32, 4, 37)",Alzabo,False
